 0.0000000000000000E+000  0.0000000000000000E+000 -0.3647564763219796E+000  0.3645724403496596E+000  0.3646461897962501E+000 -0.2963999999999999E+000  0.0000000000000000E+000
 0.2777777800000000E-003  0.0000000000000000E+000 -0.3647563180935144E+000  0.3645722821205127E+000  0.3646460315678482E+000 -0.2963999046259775E+000 -0.1392349226800261E-188
 0.8333333300000000E-003  0.0000000000000000E+000 -0.3647550506888366E+000  0.3645710147103776E+000  0.3646447641636808E+000 -0.2963991406808812E+000 -0.1392349226800261E-188
 0.1666666700000000E-002  0.0000000000000000E+000 -0.3647507643605549E+000  0.3645667283636475E+000  0.3646404778371240E+000 -0.2963965570078805E+000  0.1392349226800261E-188
 0.2777777800000000E-002  0.0000000000000000E+000 -0.3647405750175602E+000  0.3645565389768343E+000  0.3646302884982300E+000 -0.2963904149763587E+000 -0.1392349226800261E-188
 0.4166666700000000E-002  0.0000000000000000E+000 -0.3647206013117471E+000  0.3645365651852037E+000  0.3646103148004572E+000 -0.2963783742374924E+000 -0.1392349226800261E-188
 0.5833333300000000E-002  0.0000000000000000E+000 -0.3646859348808041E+000  0.3645018986055135E+000  0.3645756483834748E+000 -0.2963574737952864E+000 -0.1392349226800261E-188
 0.7777777800000000E-002  0.0000000000000000E+000 -0.3646306044692391E+000  0.3644465679570204E+000  0.3645203179942070E+000 -0.2963241084488354E+000 -0.1392349226800261E-188
 0.1000000000000000E-001  0.0000000000000000E+000 -0.3645475349712117E+000  0.3643634981043767E+000  0.3644372485296913E+000 -0.2962740007317016E+000 -0.1392349226800261E-188
 0.1250000000000000E-001  0.0000000000000000E+000 -0.3644285026586709E+000  0.3642444652859707E+000  0.3643182162652466E+000 -0.2962021684659781E+000  0.1392349226800261E-188
 0.1527777800000000E-001  0.0000000000000000E+000 -0.3642640883480368E+000  0.3640800502810105E+000  0.3641538020211922E+000 -0.2961028881848053E+000 -0.1392349226800261E-188
 0.1833333300000000E-001  0.0000000000000000E+000 -0.3640436307395942E+000  0.3638595917496182E+000  0.3639333445022906E+000 -0.2959696547911194E+000  0.1392349226800261E-188
 0.2166666700000000E-001  0.0000000000000000E+000 -0.3637551821048414E+000  0.3635711419212709E+000  0.3636448959851563E+000 -0.2957951375948648E+000  0.1392349226800261E-188
 0.2527777800000000E-001  0.0000000000000000E+000 -0.3633854708408104E+000  0.3632014291507455E+000  0.3632751848726477E+000 -0.2955711340928669E+000  0.1392349226800261E-188
