 0.0000000000000000E+000  0.0000000000000000E+000 -0.1936466738358899E+001  0.1543218507835339E+001  0.1543219858394053E+001 -0.6792412197764045E-002  0.0000000000000000E+000
 0.2777777800000000E-003  0.0000000000000000E+000 -0.1936461020331621E+001  0.1543212918870104E+001  0.1543214268986579E+001 -0.6792100684421422E-002 -0.1601327119558012E-150
 0.8333333300000000E-003  0.0000000000000000E+000 -0.1936415468703708E+001  0.1543168401965119E+001  0.1543169750660554E+001 -0.6789688466708432E-002 -0.2553718970930669E-150
 0.1666666700000000E-002  0.0000000000000000E+000 -0.1936264637202919E+001  0.1543021106219705E+001  0.1543022453465941E+001 -0.6782582384761074E-002 -0.4333278092105061E-150
 0.2777777800000000E-002  0.0000000000000000E+000 -0.1935924711879181E+001  0.1542689822124420E+001  0.1542691165696864E+001 -0.6771686418338915E-002 -0.6328030815795618E-150
 0.4166666700000000E-002  0.0000000000000000E+000 -0.1935324364672427E+001  0.1542107280391330E+001  0.1542108633832665E+001 -0.6770926607151157E-002 -0.6511927634575115E-150
 0.5833333300000000E-002  0.0000000000000000E+000 -0.1934444311039472E+001  0.1541260474580891E+001  0.1541261889779876E+001 -0.6817250640107174E-002 -0.4548805398724986E-150
 0.7777777800000000E-002  0.0000000000000000E+000 -0.1933332381667739E+001  0.1540206583059366E+001  0.1540208133464647E+001 -0.6968577305254595E-002 -0.2117025169282129E-150
 0.1000000000000000E-001  0.0000000000000000E+000 -0.1932071982367422E+001  0.1539041937690424E+001  0.1539043623375774E+001 -0.7284868590718714E-002  0.3627783592680881E-151
 0.1250000000000000E-001  0.0000000000000000E+000 -0.1930730379808257E+001  0.1537850129200133E+001  0.1537851854432975E+001 -0.7807205358993436E-002  0.1305966321418620E-150
 0.1527777800000000E-001  0.0000000000000000E+000 -0.1929328832272650E+001  0.1536671626916813E+001  0.1536673286786427E+001 -0.8551183699840297E-002  0.2317051172536265E-151
 0.1833333300000000E-001  0.0000000000000000E+000 -0.1927843311567472E+001  0.1535504155189494E+001  0.1535505695707543E+001 -0.9513629338066191E-002 -0.1032682028067085E-150
 0.2166666700000000E-001  0.0000000000000000E+000 -0.1926219117885923E+001  0.1534317166568986E+001  0.1534318579659077E+001 -0.1068258213337515E-001 -0.9891560535470627E-151
