  0.0000000000000000E+00   0.0000000000000000E+00   0.1138258313345226E+01   0.1138255481578694E+01  -0.1138405254400867E+01   0.0000000000000000E+00   0.9750000000008648E+00
  0.3996003996003997E-02   0.0000000000000000E+00   0.1138108360215461E+01   0.1138105528725610E+01  -0.1138255301409843E+01   0.0000000000000000E+00   0.9748799164410364E+00
  0.7992007992007994E-02   0.0000000000000000E+00   0.1137654084198480E+01   0.1137651253247617E+01  -0.1137801025513210E+01   0.0000000000000000E+00   0.9745160117626777E+00
  0.1198801198801199E-01   0.0000000000000000E+00   0.1136889400639652E+01   0.1136886570312643E+01  -0.1137036341870981E+01   0.0000000000000000E+00   0.9739030541058190E+00
  0.1598401598401599E-01   0.0000000000000000E+00   0.1135808989660230E+01   0.1135806160017651E+01  -0.1135955930571221E+01   0.0000000000000000E+00   0.9730361672091778E+00
  0.1998001998001998E-01   0.0000000000000000E+00   0.1134408346730830E+01   0.1134405517825372E+01  -0.1134555287066755E+01   0.0000000000000000E+00   0.9719108590260083E+00
  0.2397602397602398E-01   0.0000000000000000E+00   0.1132683827377220E+01   0.1132680999258111E+01  -0.1132830766868915E+01   0.0000000000000000E+00   0.9705230488681674E+00
  0.2797202797202798E-01   0.0000000000000000E+00   0.1130632685360492E+01   0.1130629858075385E+01  -0.1130779623725146E+01   0.0000000000000000E+00   0.9688690928075642E+00
  0.3196803196803197E-01   0.0000000000000000E+00   0.1128253103650442E+01   0.1128250277246512E+01  -0.1128400040591564E+01   0.0000000000000000E+00   0.9669458070560406E+00
  0.3596403596403597E-01   0.0000000000000000E+00   0.1125544217610677E+01   0.1125541392135295E+01  -0.1125691152817616E+01   0.0000000000000000E+00   0.9647504890581996E+00
  0.3996003996003997E-01   0.0000000000000000E+00   0.1122506129949522E+01   0.1122503305450547E+01  -0.1122653063096604E+01   0.0000000000000000E+00   0.9622809360612093E+00
  0.4395604395604397E-01   0.0000000000000000E+00   0.1119139917131742E+01   0.1119137093657877E+01  -0.1119286847877452E+01   0.0000000000000000E+00   0.9595354609537974E+00
  0.4795204795204795E-01   0.0000000000000000E+00   0.1115447627103090E+01   0.1115444804704023E+01  -0.1115594555089048E+01   0.0000000000000000E+00   0.9565129052035461E+00
  0.5194805194805196E-01   0.0000000000000000E+00   0.1111432268337063E+01   0.1111429447063728E+01  -0.1111579193187139E+01   0.0000000000000000E+00   0.9532126487586022E+00
  0.5594405594405595E-01   0.0000000000000000E+00   0.1107097790371275E+01   0.1107094970275934E+01  -0.1107244711690532E+01   0.0000000000000000E+00   0.9496346168197290E+00
  0.5994005994005994E-01   0.0000000000000000E+00   0.1102449056157931E+01   0.1102446237294269E+01  -0.1102595973531628E+01   0.0000000000000000E+00   0.9457792834325854E+00
  0.6393606393606394E-01   0.0000000000000000E+00   0.1097491806695537E+01   0.1097488989118775E+01  -0.1097638719688169E+01   0.0000000000000000E+00   0.9416476718910683E+00
