  0.0000000000000000E+00  0.0000000000000000E+00  0.2220169191251441E+01  0.2220138999576025E+01 -0.2220138999576010E+01  0.1111179999952937E+01
  0.3996003996003997E-02  0.0000000000000000E+00  0.2218486922425757E+01  0.2218456837324386E+01 -0.2218456837324353E+01  0.1110831572285619E+01
  0.7992007992007994E-02  0.0000000000000000E+00  0.2213424889575117E+01  0.2213394995452213E+01 -0.2213394995452180E+01  0.1109779158271079E+01
  0.1198801198801199E-01  0.0000000000000000E+00  0.2205017542726699E+01  0.2204987856517006E+01 -0.2204987856516965E+01  0.1108018115509406E+01
  0.1598401598401599E-01  0.0000000000000000E+00  0.2193373423439262E+01  0.2193343951052255E+01 -0.2193343951052215E+01  0.1105551804524505E+01
  0.1998001998001998E-01  0.0000000000000000E+00  0.2178667734853846E+01  0.2178638478093026E+01 -0.2178638478092989E+01  0.1102391186836070E+01
  0.2397602397602398E-01  0.0000000000000000E+00  0.2161130743208053E+01  0.2161101701640428E+01 -0.2161101701640395E+01  0.1098554067827587E+01
  0.2797202797202798E-01  0.0000000000000000E+00  0.2141033611176792E+01  0.2141004782900722E+01 -0.2141004782900686E+01  0.1094064079797664E+01
  0.3196803196803197E-01  0.0000000000000000E+00  0.2118673354547871E+01  0.2118644736579264E+01 -0.2118644736579232E+01  0.1088949514513696E+01
  0.3596403596403597E-01  0.0000000000000000E+00  0.2094358445611795E+01  0.2094330034138871E+01 -0.2094330034138841E+01  0.1083242113366170E+01
  0.3996003996003997E-01  0.0000000000000000E+00  0.2068396204713400E+01  0.2068367995295386E+01 -0.2068367995295358E+01  0.1076975906971423E+01
  0.4395604395604397E-01  0.0000000000000000E+00  0.2041082653007964E+01  0.2041054640743174E+01 -0.2041054640743146E+01  0.1070186171210908E+01
  0.4795204795204795E-01  0.0000000000000000E+00  0.2012695057470543E+01  0.2012667237141951E+01 -0.2012667237141929E+01  0.1062908539773274E+01
  0.5194805194805196E-01  0.0000000000000000E+00  0.1983487054463715E+01  0.1983459420661739E+01 -0.1983459420661710E+01  0.1055178289085612E+01
  0.5594405594405595E-01  0.0000000000000000E+00  0.1953686016632343E+01  0.1953658563856603E+01 -0.1953658563856581E+01  0.1047029792814425E+01
  0.5994005994005994E-01  0.0000000000000000E+00  0.1923492221353821E+01  0.1923464944096166E+01 -0.1923464944096146E+01  0.1038496130677263E+01
  0.6393606393606394E-01  0.0000000000000000E+00  0.1893079360920102E+01  0.1893052253728839E+01 -0.1893052253728822E+01  0.1029608829514633E+01
  0.6793206793206794E-01  0.0000000000000000E+00  0.1862595973623510E+01  0.1862569031152776E+01 -0.1862569031152755E+01  0.1020397712233317E+01
  0.7192807192807192E-01  0.0000000000000000E+00  0.1832167443296500E+01  0.1832140660341892E+01 -0.1832140660341875E+01  0.1010890830883752E+01
  0.7592407592407592E-01  0.0000000000000000E+00  0.1801898292184388E+01  0.1801871663707788E+01 -0.1801871663707772E+01  0.1001114462580464E+01
  0.7992007992007993E-01  0.0000000000000000E+00  0.1771874565552773E+01  0.1771848086698768E+01 -0.1771848086698758E+01  0.9910931502420330E+00
  0.8391608391608393E-01  0.0000000000000000E+00  0.1742166169517249E+01  0.1742139835622901E+01 -0.1742139835622891E+01  0.9808497735490349E+00
  0.8791208791208791E-01  0.0000000000000000E+00  0.1712829073964769E+01  0.1712802880564698E+01 -0.1712802880564682E+01  0.9704056387425927E+00
  0.9190809190809190E-01  0.0000000000000000E+00  0.1683907330416645E+01  0.1683881273243320E+01 -0.1683881273243310E+01  0.9597805786954565E+00
  0.9590409590409590E-01  0.0000000000000000E+00  0.1655434881873227E+01  0.1655408956854647E+01 -0.1655408956854641E+01  0.9489930570034183E+00
  0.9990009990009992E-01  0.0000000000000000E+00  0.1627437160177136E+01  0.1627411363433268E+01 -0.1627411363433267E+01  0.9380602717133529E+00
  0.1038961038961039E+00  0.0000000000000000E+00  0.1599932478232911E+01  0.1599906806069363E+01 -0.1599906806069368E+01  0.9269982557298964E+00
  0.1078921078921079E+00  0.0000000000000000E+00  0.1572933231406406E+01  0.1572907680307511E+01 -0.1572907680307510E+01  0.9158219720265647E+00
  0.1118881118881119E+00  0.0000000000000000E+00  0.1546446925999418E+01  0.1546421492621105E+01 -0.1546421492621111E+01  0.9045454025870162E+00
  0.1158841158841159E+00  0.0000000000000000E+00  0.1520477053942139E+01  0.1520451735104117E+01 -0.1520451735104125E+01  0.8931816305501490E+00
  0.1198801198801199E+00  0.0000000000000000E+00  0.1495023832695953E+01  0.1494998625373707E+01 -0.1494998625373714E+01  0.8817429154459206E+00
  0.1238761238761239E+00  0.0000000000000000E+00  0.1470084828290683E+01  0.1470059729607669E+01 -0.1470059729607679E+01  0.8702407616599104E+00
  0.1278721278721279E+00  0.0000000000000000E+00  0.1445655477902912E+01  0.1445630485122726E+01 -0.1445630485122735E+01  0.8586859804388740E+00
  0.1318681318681319E+00  0.0000000000000000E+00  0.1421729526643600E+01  0.1421704637162430E+01 -0.1421704637162438E+01  0.8470887458429879E+00
  0.1358641358641359E+00  0.0000000000000000E+00  0.1398299391488831E+01  0.1398274602828167E+01 -0.1398274602828176E+01  0.8354586451103839E+00
  0.1398601398601399E+00  0.0000000000000000E+00  0.1375356463586798E+01  0.1375331773386473E+01 -0.1375331773386484E+01  0.8238047239106712E+00
  0.1438561438561439E+00  0.0000000000000000E+00  0.1352891358626072E+01  0.1352866764637646E+01 -0.1352866764637657E+01  0.8121355269629742E+00
